id,ship_id,origin_port_id,dest_port_id,contents,quantity,eta_day,status
CTN_0001,SHIP_001,PORT_SHAN,PORT_DUBA,racking,419,33,in_transit
CTN_0002,SHIP_001,PORT_TUNI,PORT_DUBA,mixed,290,54,delayed
CTN_0003,SHIP_001,PORT_FELI,PORT_DAMM,mixed,486,47,in_transit
CTN_0004,SHIP_001,PORT_TRIP,PORT_JEDD,panels,378,14,in_transit
CTN_0005,SHIP_001,PORT_PIRA,PORT_DAMM,mixed,181,50,delivered
CTN_0006,SHIP_001,PORT_ALEX,PORT_DAMM,racking,259,13,in_transit
CTN_0007,SHIP_001,PORT_ANTW,PORT_DAMM,panels,312,47,in_transit
CTN_0008,SHIP_001,PORT_ROTT,PORT_DUBA,racking,152,37,in_transit
CTN_0009,SHIP_001,PORT_ALGI,PORT_JEDD,inverters,265,27,delivered
CTN_0010,SHIP_001,PORT_ALEX,PORT_DAMM,mixed,285,26,in_transit
CTN_0011,SHIP_001,PORT_ANTW,PORT_MUSC,mixed,261,20,in_transit
CTN_0012,SHIP_001,PORT_TUNI,PORT_DAMM,inverters,493,31,in_transit
CTN_0013,SHIP_001,PORT_PIRA,PORT_MUSC,racking,301,56,in_transit
CTN_0014,SHIP_001,PORT_ANTW,PORT_JEDD,panels,219,30,delayed
CTN_0015,SHIP_001,PORT_TRIP,PORT_DUBA,panels,242,45,in_transit
CTN_0016,SHIP_001,PORT_ALGI,PORT_DAMM,inverters,444,34,delayed
CTN_0017,SHIP_001,PORT_SHAN,PORT_DOHA,inverters,317,30,delayed
CTN_0018,SHIP_002,PORT_VALE,PORT_DAMM,mixed,122,25,delayed
CTN_0019,SHIP_002,PORT_TRIP,PORT_MUSC,racking,152,17,delivered
CTN_0020,SHIP_002,PORT_CASA,PORT_MUSC,racking,238,25,delayed
CTN_0021,SHIP_002,PORT_TUNI,PORT_DUBA,inverters,282,15,in_transit
CTN_0022,SHIP_002,PORT_VALE,PORT_DUBA,mixed,186,32,delayed
CTN_0023,SHIP_002,PORT_ALGI,PORT_DOHA,racking,102,43,delivered
CTN_0024,SHIP_003,PORT_ALGI,PORT_PIRA,panels,94,25,delayed
CTN_0025,SHIP_003,PORT_TANG,PORT_FELI,panels,279,53,delayed
CTN_0026,SHIP_003,PORT_CASA,PORT_HAMB,mixed,413,59,delivered
CTN_0027,SHIP_003,PORT_ANTW,PORT_HAMB,panels,161,52,delayed
CTN_0028,SHIP_003,PORT_ANTW,PORT_VALE,panels,227,36,in_transit
CTN_0029,SHIP_003,PORT_ROTT,PORT_VALE,mixed,199,19,in_transit
CTN_0030,SHIP_003,PORT_HAMB,PORT_PIRA,inverters,345,43,delivered
CTN_0031,SHIP_003,PORT_ANTW,PORT_ROTT,mixed,193,2,delayed
CTN_0032,SHIP_003,PORT_ALEX,PORT_FELI,panels,20,12,in_transit
CTN_0033,SHIP_003,PORT_SHAN,PORT_HAMB,mixed,494,36,in_transit
CTN_0034,SHIP_003,PORT_SHAN,PORT_ROTT,panels,379,41,delivered
CTN_0035,SHIP_003,PORT_SHAN,PORT_ANTW,racking,385,22,delayed
CTN_0036,SHIP_003,PORT_CASA,PORT_HAMB,inverters,313,35,delayed
CTN_0037,SHIP_003,PORT_ANTW,PORT_PIRA,panels,386,39,delayed
CTN_0038,SHIP_003,PORT_FELI,PORT_HAMB,mixed,150,55,delayed
CTN_0039,SHIP_003,PORT_SHAN,PORT_PIRA,inverters,310,24,delayed
CTN_0040,SHIP_003,PORT_CASA,PORT_HAMB,inverters,66,45,delayed
CTN_0041,SHIP_004,PORT_PIRA,PORT_ROTT,inverters,191,21,delayed
CTN_0042,SHIP_004,PORT_TUNI,PORT_FELI,inverters,561,23,delivered
CTN_0043,SHIP_004,PORT_TUNI,PORT_VALE,inverters,419,23,delayed
CTN_0044,SHIP_004,PORT_CASA,PORT_ROTT,inverters,175,40,in_transit
CTN_0045,SHIP_004,PORT_FELI,PORT_ROTT,racking,531,52,delayed
CTN_0046,SHIP_004,PORT_ROTT,PORT_FELI,mixed,206,30,delivered
CTN_0047,SHIP_004,PORT_TUNI,PORT_ROTT,racking,355,27,delivered
CTN_0048,SHIP_004,PORT_ROTT,PORT_VALE,mixed,20,42,delivered
CTN_0049,SHIP_004,PORT_PIRA,PORT_FELI,mixed,101,30,delayed
CTN_0050,SHIP_004,PORT_TRIP,PORT_ROTT,racking,325,23,delivered
CTN_0051,SHIP_004,PORT_SHAN,PORT_PIRA,inverters,339,43,in_transit
CTN_0052,SHIP_004,PORT_ALEX,PORT_VALE,mixed,126,16,delayed
CTN_0053,SHIP_004,PORT_TANG,PORT_ANTW,inverters,20,39,delivered
CTN_0054,SHIP_004,PORT_FELI,PORT_FELI,racking,20,15,delayed
CTN_0055,SHIP_004,PORT_TRIP,PORT_ANTW,inverters,248,12,delayed
CTN_0056,SHIP_004,PORT_ALEX,PORT_ROTT,mixed,361,38,delayed
CTN_0057,SHIP_004,PORT_ALGI,PORT_VALE,panels,356,8,delivered
CTN_0058,SHIP_004,PORT_ALGI,PORT_ROTT,panels,216,30,delayed
CTN_0059,SHIP_004,PORT_HAMB,PORT_HAMB,panels,445,34,delayed
CTN_0060,SHIP_005,PORT_SHAN,PORT_DAMM,panels,20,14,delivered
CTN_0061,SHIP_005,PORT_ANTW,PORT_AQAB,inverters,362,58,in_transit
CTN_0062,SHIP_005,PORT_FELI,PORT_DUBA,racking,600,27,delivered
CTN_0063,SHIP_005,PORT_SHAN,PORT_MUSC,inverters,366,22,delivered
CTN_0064,SHIP_005,PORT_VALE,PORT_AQAB,mixed,349,19,delivered
CTN_0065,SHIP_005,PORT_TRIP,PORT_DOHA,mixed,262,38,delayed
CTN_0066,SHIP_005,PORT_HAMB,PORT_JEDD,panels,408,59,delayed
CTN_0067,SHIP_005,PORT_FELI,PORT_JEDD,racking,224,24,delayed
CTN_0068,SHIP_005,PORT_PIRA,PORT_JEDD,inverters,437,4,in_transit
CTN_0069,SHIP_005,PORT_ANTW,PORT_JEDD,panels,357,13,in_transit
CTN_0070,SHIP_005,PORT_SHAN,PORT_AQAB,mixed,444,7,in_transit
CTN_0071,SHIP_005,PORT_TRIP,PORT_DAMM,mixed,59,30,delayed
CTN_0072,SHIP_005,PORT_SHAN,PORT_MUSC,racking,327,34,in_transit
CTN_0073,SHIP_005,PORT_FELI,PORT_DAMM,racking,20,25,delayed
CTN_0074,SHIP_005,PORT_ANTW,PORT_AQAB,inverters,314,49,delayed
CTN_0075,SHIP_005,PORT_CASA,PORT_DUBA,mixed,163,20,delayed
CTN_0076,SHIP_005,PORT_SHAN,PORT_JEDD,panels,369,2,in_transit
CTN_0077,SHIP_005,PORT_SHAN,PORT_DUBA,panels,273,39,delayed
CTN_0078,SHIP_005,PORT_ROTT,PORT_DUBA,panels,251,27,delayed
CTN_0079,SHIP_005,PORT_TANG,PORT_AQAB,panels,404,34,in_transit
CTN_0080,SHIP_005,PORT_ALGI,PORT_AQAB,racking,377,24,delayed
CTN_0081,SHIP_005,PORT_ANTW,PORT_MUSC,mixed,489,51,in_transit
CTN_0082,SHIP_005,PORT_PIRA,PORT_DAMM,panels,449,45,delayed
CTN_0083,SHIP_006,PORT_ALGI,PORT_CASA,mixed,359,51,in_transit
CTN_0084,SHIP_006,PORT_TUNI,PORT_ALEX,racking,424,44,delayed
CTN_0085,SHIP_006,PORT_ANTW,PORT_TUNI,panels,259,16,delayed
CTN_0086,SHIP_006,PORT_FELI,PORT_CASA,inverters,336,29,delayed
CTN_0087,SHIP_006,PORT_FELI,PORT_ALEX,mixed,113,47,delayed
CTN_0088,SHIP_006,PORT_ALGI,PORT_TUNI,panels,91,52,delayed
CTN_0089,SHIP_006,PORT_ALEX,PORT_CASA,panels,600,53,delivered
CTN_0090,SHIP_006,PORT_ALGI,PORT_TRIP,inverters,251,38,delayed
CTN_0091,SHIP_006,PORT_ALEX,PORT_TRIP,mixed,520,28,in_transit
CTN_0092,SHIP_006,PORT_ALGI,PORT_ALEX,racking,568,35,delayed
