id,name,region,material,reliability,volume_per_day,cost_per_panel,lead_time_days
S_EU_001,Green Prime Corp,europe,inverters,0.895,488.1,0.07,7
S_EU_002,Nova Prime Corp,europe,cabling,0.818,129.4,0.233,28
S_EU_003,Prime Inno BV,europe,cabling,0.867,128.1,0.202,10
S_EU_004,Core Core Inc,europe,racking,0.802,163.8,0.253,18
S_EU_005,Inno Prime LLC,europe,panels,0.873,373.1,0.205,24
S_EU_006,Peak Nova Inc,europe,cabling,0.769,137.2,0.217,31
S_EU_007,Watt Eco Corp,europe,inverters,0.738,430.1,0.225,25
S_EU_008,Prime Core BV,europe,cabling,0.832,343.7,0.232,22
S_EU_009,Core Power LLC,europe,panels,0.849,426.3,0.093,17
S_EU_010,Grid Watt SA,europe,racking,0.792,599.0,0.128,30
S_EU_011,Core Panel Ltd,europe,cabling,0.836,417.2,0.223,28
S_EU_012,Panel Solar Inc,europe,inverters,0.906,261.7,0.103,9
S_EU_013,Core Solar LLC,europe,inverters,0.834,438.1,0.154,22
S_EU_014,Star Inno BV,europe,inverters,0.866,167.6,0.158,16
S_EU_015,Prime Nova Corp,europe,inverters,0.773,302.5,0.209,24
S_EU_016,Watt Watt GmbH,europe,inverters,0.778,284.1,0.079,6
S_EU_017,Energy Green Inc,europe,cabling,0.86,118.9,0.157,33
S_EU_018,Sun Prime Inc,europe,racking,0.727,258.9,0.123,17
S_EU_019,Eco Watt Corp,europe,panels,0.863,347.5,0.144,6
S_EU_020,Solar Prime BV,europe,racking,0.843,304.4,0.276,18
S_EU_021,Inno Green LLC,europe,inverters,0.842,571.8,0.23,24
S_EU_022,Inno Green GmbH,europe,racking,0.756,114.7,0.157,6
S_EU_023,Panel Panel Inc,europe,panels,0.673,96.9,0.199,28
S_EU_024,Sun Watt Corp,europe,inverters,0.861,102.1,0.07,23
S_EU_025,Star Energy SA,europe,racking,0.759,271.8,0.244,22
S_EU_026,Grid Eco Inc,europe,racking,0.653,202.7,0.177,38
S_EU_027,Star Prime Inc,europe,panels,0.77,63.0,0.122,13
S_EU_028,Grid Energy Inc,europe,cabling,0.904,119.4,0.236,24
S_EU_029,Panel Grid SpA,europe,inverters,0.755,389.2,0.153,8
S_EU_030,Star Star GmbH,europe,cabling,0.978,332.0,0.173,23
S_EU_031,Watt Energy Ltd,europe,cabling,0.779,521.3,0.206,35
S_EU_032,Volt Sun Ltd,europe,cabling,0.683,630.2,0.283,18
S_EU_033,Nova Eco Inc,europe,racking,0.709,121.1,0.219,16
S_EU_034,Watt Grid BV,europe,panels,0.854,581.5,0.185,26
S_EU_035,Star Green Inc,europe,racking,0.736,56.2,0.127,17
S_EU_036,Solar Nova Ltd,europe,racking,0.823,203.2,0.16,30
S_EU_037,Grid Inno Inc,europe,cabling,0.805,160.8,0.167,22
S_EU_038,Eco Inno LLC,europe,panels,0.829,345.6,0.331,39
S_EU_039,Eco Peak Corp,europe,cabling,0.674,181.9,0.199,32
S_EU_040,Sun Core Inc,europe,cabling,0.605,267.5,0.116,15
S_EU_041,Green Energy SpA,europe,inverters,0.811,30,0.092,41
S_EU_042,Sun Power SpA,europe,racking,1.0,881.0,0.11,16
S_NA_001,Energy Eco GmbH,na,cabling,0.721,250.9,0.227,24
S_NA_002,Eco Sun SA,na,panels,0.683,252.4,0.164,22
S_NA_003,Core Solar BV,na,racking,0.921,331.1,0.201,21
S_NA_004,Nova Peak LLC,na,cabling,0.852,280.5,0.306,36
S_NA_005,Star Volt Inc,na,panels,0.709,538.2,0.196,25
S_NA_006,Nova Green LLC,na,cabling,0.865,77.9,0.152,23
S_NA_007,Inno Inno SA,na,cabling,0.81,249.6,0.189,35
S_NA_008,Core Watt LLC,na,inverters,0.838,359.2,0.158,3
S_NA_009,Eco Volt SA,na,panels,0.667,472.8,0.16,19
S_NA_010,Eco Inno GmbH,na,inverters,0.95,416.5,0.284,32
S_NA_011,Watt Grid SpA,na,cabling,0.864,465.6,0.162,21
S_NA_012,Green Sun GmbH,na,racking,0.702,456.5,0.169,32
S_NA_013,Inno Green SA,na,racking,0.893,30,0.176,8
S_NA_014,Eco Prime BV,na,racking,0.884,160.2,0.119,20
S_NA_015,Nova Panel Ltd,na,panels,0.851,531.1,0.217,3
S_NA_016,Inno Grid Corp,na,cabling,0.861,623.2,0.07,14
S_NA_017,Core Green LLC,na,panels,0.968,373.7,0.231,14
S_NA_018,Power Inno Corp,na,inverters,0.843,346.9,0.196,11
S_NA_019,Grid Energy Inc,na,panels,0.858,500.0,0.116,19
S_NA_020,Eco Nova GmbH,na,racking,0.738,340.5,0.231,20
S_NA_021,Inno Star Ltd,na,racking,0.904,410.8,0.32,18
S_NA_022,Green Green BV,na,racking,0.774,321.6,0.259,4
S_NA_023,Volt Sun SpA,na,inverters,0.741,387.9,0.211,23
S_NA_024,Grid Green BV,na,cabling,0.825,205.6,0.208,27
S_NA_025,Inno Star Ltd,na,racking,0.834,452.0,0.194,25
S_NA_026,Power Power BV,na,panels,0.84,464.1,0.156,25
S_NA_027,Peak Solar Ltd,na,panels,0.903,30,0.102,5
S_NA_028,Sun Core GmbH,na,panels,0.895,243.0,0.192,31
S_NA_029,Core Core BV,na,panels,0.743,570.7,0.186,12
S_NA_030,Watt Eco LLC,na,racking,0.731,228.4,0.228,37
S_NA_031,Nova Panel SA,na,panels,0.716,394.9,0.172,3
S_NA_032,Volt Eco Inc,na,panels,0.767,86.0,0.141,24
S_NA_033,Sun Inno LLC,na,racking,0.856,564.1,0.159,5
S_NA_034,Grid Nova Inc,na,racking,0.931,376.7,0.172,23
S_NA_035,Peak Watt GmbH,na,panels,0.827,332.0,0.245,12
S_NA_036,Prime Panel BV,na,racking,0.851,133.3,0.085,3
S_NA_037,Panel Energy SpA,na,panels,0.791,687.4,0.246,10
S_NA_038,Energy Panel SA,na,racking,0.792,337.1,0.217,17
S_NA_039,Energy Grid GmbH,na,inverters,0.821,819.5,0.193,34
S_NA_040,Grid Peak GmbH,na,cabling,0.814,265.9,0.133,24
S_NA_041,Grid Core BV,na,inverters,0.881,433.1,0.245,24
S_NA_042,Green Sun SA,na,inverters,0.789,487.1,0.07,17
S_ME_001,Volt Core Corp,me,cabling,0.956,479.0,0.137,5
S_ME_002,Grid Energy SA,me,cabling,1.0,387.0,0.146,25
S_ME_003,Eco Nova LLC,me,inverters,0.83,282.8,0.227,23
S_ME_004,Watt Eco Corp,me,panels,0.91,625.8,0.122,11
S_ME_005,Prime Star Corp,me,panels,0.96,211.5,0.267,21
S_ME_006,Solar Volt BV,me,inverters,0.784,111.8,0.153,25
S_ME_007,Inno Power GmbH,me,inverters,0.766,529.6,0.07,12
S_ME_008,Sun Power LLC,me,cabling,0.845,264.2,0.165,18
S_ME_009,Panel Solar Corp,me,inverters,0.891,432.5,0.203,26
S_ME_010,Grid Prime Corp,me,cabling,0.811,238.6,0.135,10
S_ME_011,Volt Energy SA,me,inverters,0.769,122.2,0.176,23
S_ME_012,Inno Inno BV,me,panels,0.91,447.9,0.17,13
S_ME_013,Nova Watt BV,me,inverters,0.675,286.4,0.196,11
S_ME_014,Grid Inno Corp,me,cabling,0.954,549.6,0.165,24
S_ME_015,Grid Nova Inc,me,cabling,0.791,85.6,0.223,40
S_ME_016,Prime Watt Corp,me,racking,0.844,622.2,0.107,22
S_ME_017,Core Nova SpA,me,racking,0.778,30,0.103,16
S_ME_018,Star Watt SpA,me,cabling,0.844,30,0.211,14
S_ME_019,Inno Green GmbH,me,racking,0.756,408.2,0.226,24
S_ME_020,Solar Energy SpA,me,panels,0.717,347.1,0.095,24
S_ME_021,Solar Core Corp,me,racking,0.891,348.3,0.143,35
S_ME_022,Power Core BV,me,panels,0.847,176.1,0.208,15
S_ME_023,Nova Peak SA,me,racking,0.716,30,0.277,45
S_ME_024,Peak Sun Corp,me,racking,0.789,242.8,0.169,9
S_ME_025,Inno Green Corp,me,inverters,0.671,439.8,0.303,22
S_ME_026,Prime Volt SA,me,panels,0.882,30,0.19,16
S_ME_027,Power Watt Inc,me,panels,0.987,79.3,0.215,23
S_ME_028,Sun Watt SpA,me,racking,0.941,235.2,0.078,20
S_ME_029,Grid Grid SpA,me,inverters,0.812,30,0.083,25
S_ME_030,Sun Grid SpA,me,racking,0.898,354.5,0.137,7
S_ME_031,Sun Energy GmbH,me,panels,1.0,384.0,0.203,18
S_ME_032,Inno Watt LLC,me,inverters,0.945,195.7,0.154,15
S_ME_033,Eco Grid Inc,me,panels,0.774,215.0,0.199,18
S_ME_034,Eco Solar SpA,me,cabling,0.737,143.5,0.07,10
S_ME_035,Star Watt Inc,me,racking,0.931,251.0,0.118,19
S_ME_036,Prime Solar SpA,me,racking,0.729,411.7,0.167,26
S_ME_037,Eco Solar Inc,me,panels,0.716,297.6,0.167,8
S_ME_038,Solar Energy BV,me,inverters,0.785,95.5,0.174,31
S_ME_039,Panel Power SpA,me,inverters,0.728,592.2,0.197,28
S_ME_040,Watt Solar BV,me,inverters,0.865,311.7,0.213,18
S_ME_041,Solar Peak Ltd,me,panels,0.898,461.4,0.083,3
S_ME_042,Watt Power Ltd,me,racking,0.718,30,0.186,29
