id,name,region,capacity_panels,inventory_panels
WH_EU_01,Europe Warehouse 1,europe,31865,5127
WH_EU_02,Europe Warehouse 2,europe,35390,6140
WH_EU_03,Europe Warehouse 3,europe,32065,3705
WH_EU_04,Europe Warehouse 4,europe,27939,7191
WH_EU_05,Europe Warehouse 5,europe,17175,2115
WH_EU_06,Europe Warehouse 6,europe,27177,5246
WH_EU_07,Europe Warehouse 7,europe,15111,3776
WH_EU_08,Europe Warehouse 8,europe,23872,0
WH_EU_09,Europe Warehouse 9,europe,22365,3528
WH_EU_10,Europe Warehouse 10,europe,23076,8248
WH_EU_11,Europe Warehouse 11,europe,10410,1526
WH_EU_12,Europe Warehouse 12,europe,3000,2557
WH_EU_13,Europe Warehouse 13,europe,20252,2470
WH_EU_14,Europe Warehouse 14,europe,38292,6582
WH_NA_01,Na Warehouse 1,na,25934,2888
WH_NA_02,Na Warehouse 2,na,37314,3941
WH_NA_03,Na Warehouse 3,na,15181,0
WH_NA_04,Na Warehouse 4,na,19704,6264
WH_NA_05,Na Warehouse 5,na,52318,4185
WH_NA_06,Na Warehouse 6,na,15816,445
WH_NA_07,Na Warehouse 7,na,31623,0
WH_NA_08,Na Warehouse 8,na,31604,6453
WH_NA_09,Na Warehouse 9,na,30235,3341
WH_NA_10,Na Warehouse 10,na,31779,4513
WH_NA_11,Na Warehouse 11,na,15663,9551
WH_NA_12,Na Warehouse 12,na,20780,6327
WH_NA_13,Na Warehouse 13,na,3000,3000
WH_NA_14,Na Warehouse 14,na,42625,4090
WH_ME_01,Me Warehouse 1,me,31705,5676
WH_ME_02,Me Warehouse 2,me,17287,5641
WH_ME_03,Me Warehouse 3,me,15296,2174
WH_ME_04,Me Warehouse 4,me,38523,6924
WH_ME_05,Me Warehouse 5,me,16523,1799
WH_ME_06,Me Warehouse 6,me,17253,6198
WH_ME_07,Me Warehouse 7,me,13000,5070
WH_ME_08,Me Warehouse 8,me,33962,3735
WH_ME_09,Me Warehouse 9,me,37121,3087
WH_ME_10,Me Warehouse 10,me,22434,1068
WH_ME_11,Me Warehouse 11,me,37206,1700
WH_ME_12,Me Warehouse 12,me,29197,3786
WH_ME_13,Me Warehouse 13,me,12367,2173
WH_ME_14,Me Warehouse 14,me,41594,4605
