id,name,role,region,project_id,skill_level
W_0001,Worker_1,engineer,europe,P_011,2
W_0002,Worker_2,installer,europe,P_016,3
W_0003,Worker_3,safety,europe,P_012,3
W_0004,Worker_4,engineer,europe,P_019,3
W_0005,Worker_5,safety,europe,P_009,1
W_0006,Worker_6,supervisor,europe,P_008,5
W_0007,Worker_7,electrician,europe,P_006,1
W_0008,Worker_8,installer,europe,P_012,4
W_0009,Worker_9,safety,europe,P_006,2
W_0010,Worker_10,installer,europe,P_009,2
W_0011,Worker_11,supervisor,europe,P_013,4
W_0012,Worker_12,installer,europe,P_011,3
W_0013,Worker_13,supervisor,europe,P_018,2
W_0014,Worker_14,electrician,europe,P_014,2
W_0015,Worker_15,safety,europe,P_010,3
W_0016,Worker_16,safety,europe,P_014,2
W_0017,Worker_17,supervisor,europe,P_010,4
W_0018,Worker_18,safety,europe,P_001,4
W_0019,Worker_19,engineer,europe,P_014,2
W_0020,Worker_20,safety,europe,P_017,2
W_0021,Worker_21,installer,europe,P_018,3
W_0022,Worker_22,safety,europe,P_012,2
W_0023,Worker_23,engineer,europe,P_019,3
W_0024,Worker_24,electrician,europe,P_015,5
W_0025,Worker_25,installer,europe,P_018,3
W_0026,Worker_26,installer,europe,P_019,3
W_0027,Worker_27,electrician,europe,P_018,5
W_0028,Worker_28,engineer,europe,P_005,4
W_0029,Worker_29,installer,europe,P_015,2
W_0030,Worker_30,supervisor,europe,P_008,2
W_0031,Worker_31,supervisor,europe,P_004,1
W_0032,Worker_32,supervisor,europe,P_006,3
W_0033,Worker_33,engineer,europe,P_005,1
W_0034,Worker_34,engineer,europe,P_007,5
W_0035,Worker_35,electrician,europe,P_004,3
W_0036,Worker_36,installer,europe,P_004,4
W_0037,Worker_37,electrician,europe,P_001,3
W_0038,Worker_38,engineer,europe,P_017,3
W_0039,Worker_39,engineer,europe,P_015,3
W_0040,Worker_40,safety,europe,P_009,3
W_0041,Worker_41,engineer,europe,P_016,4
W_0042,Worker_42,engineer,europe,P_015,5
W_0043,Worker_43,electrician,europe,P_018,5
W_0044,Worker_44,supervisor,europe,P_013,5
W_0045,Worker_45,installer,europe,P_017,2
W_0046,Worker_46,supervisor,europe,P_001,3
W_0047,Worker_47,engineer,europe,P_005,2
W_0048,Worker_48,safety,europe,P_013,4
W_0049,Worker_49,safety,europe,P_017,2
W_0050,Worker_50,supervisor,europe,P_013,4
W_0051,Worker_51,installer,europe,P_019,3
W_0052,Worker_52,installer,europe,P_012,3
W_0053,Worker_53,safety,europe,P_001,3
W_0054,Worker_54,installer,europe,P_002,2
